job title,skills,salary
Graduate Scientific Programmer - School of Biomedical Informatics,Research,null
Graduate Scientific Programmer - School of Biomedical Informatics,.NET,null
Graduate Scientific Programmer - School of Biomedical Informatics,Java,null
Full Stack Developer,ERP systems,null
Android Mobile Reverse Engineer: Entry/Junior Levels,Assembly,null
Android Mobile Reverse Engineer: Entry/Junior Levels,Kotlin,null
Android Mobile Reverse Engineer: Entry/Junior Levels,Software development,null
iOS Developer I,XML,"$80,000 - $90,000 a year"
iOS Developer I,iOS development,"$80,000 - $90,000 a year"
iOS Developer I,UX,"$80,000 - $90,000 a year"
Entry Level Software Engineer (Virtual),SQL,null
Entry Level Software Engineer (Virtual),XML,null
Entry Level Software Engineer (Virtual),Node.js,null
Software Developer,NoSQL,"$55,000 - $60,000 a year"
Software Developer,SQL,"$55,000 - $60,000 a year"
Software Developer,Git,"$55,000 - $60,000 a year"
Entry Level Software Engineer,Software troubleshooting,null
Entry Level Software Engineer,Java,null
Entry Level Software Engineer,Software development,null
"Analyst, IT - Level 1 Backend Software Engineer",XML,null
"Analyst, IT - Level 1 Backend Software Engineer",Git,null
"Analyst, IT - Level 1 Backend Software Engineer",AJAX,null
Developer I,SQL,null
Developer I,Visual Basic,null
Developer I,XML,null
Entry-Level Database Developer,Relational databases,null
Entry-Level Database Developer,Microsoft SQL Server,null
Entry-Level Database Developer,MySQL,null
Software Engineer,SharePoint,"$76,400 - $151,800 a year"
Software Engineer,Software development,"$76,400 - $151,800 a year"
Software Engineer,Natural language processing,"$76,400 - $151,800 a year"
Entry-Level Software Developer,NoSQL,null
Entry-Level Software Developer,SQL,null
Entry-Level Software Developer,ASP.NET,null
Entry Level Software Engineer,Software development,null
Entry Level Software Engineer,Full-stack development,null
Entry Level Software Engineer,DevOps,null
Software Engineer I,Integration testing,null
Software Engineer I,PHP,null
Software Engineer I,MySQL,null
Software Engineers & Programmers,Java,null
Software Engineers & Programmers,Visual Studio,null
Software Engineers & Programmers,C++,null
Software Engineer,NoSQL,"$75,000 - $85,000 a year"
Software Engineer,SQL,"$75,000 - $85,000 a year"
Software Engineer,REST,"$75,000 - $85,000 a year"
Web Developer,Git,"$65,000 - $120,000 a year"
Web Developer,HTML5,"$65,000 - $120,000 a year"
Web Developer,Bootstrap,"$65,000 - $120,000 a year"
Audio SW Engineer,Research,null
Audio SW Engineer,Natural language processing,null
Audio SW Engineer,MATLAB,null
Junior Software Developer,Git,null
Junior Software Developer,Software development,null
Junior Software Developer,Back-end development,null
Junior Software Developer,ASP.NET,null
Junior Software Developer,Node.js,null
Junior Software Developer,Software development,null
Software Developer (Entry-Level),SQL,null
Software Developer (Entry-Level),Software development,null
Software Developer (Entry-Level),Visual Studio,null
ASSOCIATE SOFTWARE ENGINEER,SDLC,"$60,000 - $75,000 a year"
Trainee Computer Programmer-Java-High School Programming Fundamentals 1,Java,$16 an hour
Software Developer - Digital,Kotlin,null
Software Developer - Digital,Software development,null
Software Developer - Digital,C#,null
Software Engineer,,null
Software Developers Engineers - 2023 College Graduates,SQL,null
Software Developers Engineers - 2023 College Graduates,ASP.NET,null
Software Developers Engineers - 2023 College Graduates,ASME codes & standards,null
Entry Level Software Engineer (Aerospace),SDLC,"$50,000 - $60,000 a year"
Programmer Analyst,Java,"$70,000 - $80,000 a year"
Programmer Analyst,VBA,"$70,000 - $80,000 a year"
Programmer Analyst,Scripting,"$70,000 - $80,000 a year"
Software Engineering Entry Level,XML,null
Software Engineering Entry Level,Git,null
Software Engineering Entry Level,Software development,null
